month,all fuels,coal,petroleum liquids,natural gas,nuclear,hydroelectric,wind,geothermal,biomass,total,renewable,renewable_percent,hydroelectric_percent,wind_percent,geothermal_percent,biomass_percent
Feb-01,16259.34743,445.6568,2.67687,4131.07451,831.225,8775.34862,1627.64086,127.57523,131.60855,32332.15387,10662.17326,0.329769965,0.823035643,0.152655638,0.011965218,0.012343501
Mar-01,16995.837,328.62069,17.89297,4446.80801,859.62,9207.62745,1724.65103,142.61806,126.93415,33850.60936,11201.83069,0.330919617,0.821975238,0.161754174,0.013376078,0.011905092
Apr-01,15732.99589,247.71712,2.71076,3600.6325,836.503,8734.56369,1914.09234,135.37956,105.84044,31310.4353,10889.87603,0.347803406,0.802081095,0.179521782,0.012697183,0.009926723
May-01,13357.52229,490.71659,1.7368,3637.49502,854.566,6230.2063,1683.45205,129.31764,114.96075,26499.97344,8157.93674,0.307846978,0.763698776,0.157890142,0.012128638,0.010782112
Jun-01,14543.94005,474.74827,1.49744,4226.40003,820.076,7056.75528,1468.94909,136.70216,120.53164,28849.59996,8782.93817,0.30443882,0.803461796,0.137772015,0.012821229,0.011304603
Jul-01,17936.43552,408.80264,2.52025,4281.39091,837.443,10412.92063,1418.57568,148.90132,136.43866,35583.42861,12116.83629,0.340519078,0.859376192,0.133047517,0.013965382,0.012796515
Aug-01,19402.29925,285.51973,2.88573,3183.86543,840.895,13050.61596,1427.59681,149.59083,143.06306,38486.3318,14770.86666,0.383795129,0.883537592,0.133893605,0.014030051,0.013417814
Sep-01,17860.36869,1.89847,1.73697,1285.22301,650.116,13832.56747,1513.64563,147.77344,124.94112,35418.2708,15618.92766,0.440985043,0.8856285,0.141964081,0.013859598,0.011718166
Oct-01,15495.11328,1.94191,0.008,1363.41836,847.7,10642.0965,2092.28603,137.47977,125.55446,30705.59831,12997.41676,0.423291435,0.818785509,0.19623448,0.01289416,0.011775691
Nov-01,14002.03248,290.85767,2.31635,2662.11012,827.383,7495.69989,2221.89104,121.74582,121.11305,27745.14942,9960.4498,0.358997879,0.752546325,0.208390071,0.011418481,0.011359134
Dec-01,17244.92135,398.16871,1.69049,2412.37418,853.749,11050.45792,2037.40988,132.85699,135.17267,34266.80119,13355.89746,0.389762014,0.827384154,0.191087673,0.012460592,0.012677778
Jan-02,17503.06657,341.38144,2.71141,3251.91555,755.9,10744.76927,1983.64247,129.43438,123.36638,34836.18747,12981.2125,0.372635855,0.827716923,0.186044854,0.012139587,0.011570472
Feb-02,19979.77982,295.59859,4.04519,3744.90671,867.584,12998.11451,1667.96936,138.38125,130.69241,39827.07184,14935.15753,0.37500014,0.870303141,0.156438028,0.01297871,0.012257577
Mar-02,18363.04023,113.2944,3.57129,3745.54061,631.147,11801.81599,1727.72363,143.72698,119.69624,36649.55637,13792.96284,0.376347334,0.855640382,0.162042352,0.013480083,0.011226252
Apr-02,15065.20323,268.03603,3.44382,3598.39161,836.592,8390.37626,1591.57632,141.72388,124.85536,30020.19851,10248.53182,0.341387876,0.81869056,0.149273162,0.013292213,0.011710123
May-02,13225.23463,445.96813,2.34603,3534.86362,848.536,6329.42638,1629.38988,157.41585,121.32568,26294.5062,8237.55779,0.313280566,0.768362,0.152819678,0.014763955,0.011379076
Jun-02,13368.23307,360.70935,2.55594,4291.51001,815.383,6076.64073,1300.78143,165.869,126.84773,26508.53026,7670.13889,0.289346064,0.792246505,0.121999652,0.015556772,0.011896986
Jul-02,16444.20781,420.86105,2.67049,4554.40421,849.376,8159.18268,1904.5899,163.97848,136.84327,32636.11389,10364.59433,0.317580529,0.78721679,0.178630552,0.015379461,0.012834463
Aug-02,17064.28853,439.65741,1.61847,4477.30092,845.579,8865.44503,1851.14129,154.13154,137.84527,33837.00746,11008.56313,0.32534092,0.805322632,0.173617634,0.014455922,0.01292844
Sep-02,16564.98558,65.12178,3.13088,2996.26638,304.057,10857.53137,1758.20795,146.3281,112.75749,32808.38653,12874.82491,0.392424812,0.843314876,0.164901461,0.013724041,0.01057547
Oct-02,14407.68095,1.68649,3.39048,1864.78099,150.615,9791.53002,2070.93634,123.64336,102.47572,28516.73935,12088.58544,0.42391191,0.809981455,0.194232103,0.01159645,0.009611148
Nov-02,13823.02192,28.53481,1.36826,3265.16985,746.667,7137.30805,2100.17512,154.76175,108.40604,27365.4128,9500.65096,0.34717733,0.751244107,0.196974394,0.014515029,0.010167349
Dec-02,15882.75727,399.67467,1.71043,3969.22736,849.781,8275.86942,1855.78227,152.14174,144.08867,31531.03283,10427.8821,0.330718063,0.793628979,0.174052909,0.014269299,0.013514006
Jan-03,16605.07929,241.04805,5.56339,3160.97423,768.461,9637.86687,2398.07653,140.3074,120.1165,33077.49326,12296.3673,0.371744231,0.7837979,0.224914421,0.013159362,0.011265668
Feb-03,17848.01509,364.04347,1.22578,3362.90438,865.094,11711.15462,1165.33136,142.53244,139.48332,35599.78446,13158.50174,0.369623073,0.890006693,0.109295857,0.013368048,0.013082072
Mar-03,16654.53778,885.69227,0.63267,3834.66516,858.272,9431.48125,1282.73003,147.39111,124.73359,33220.13586,10986.33598,0.330713156,0.858473768,0.12030662,0.01382374,0.011698702
Apr-03,15604.80022,821.24812,1.20792,2920.62917,795.088,9120.20803,1585.37347,135.78714,129.67631,31114.01838,10971.04495,0.35260778,0.831298028,0.1486914,0.012735409,0.012162278
May-03,14823.45236,856.46139,0.93131,3487.21017,858.556,7347.71356,1813.64344,156.21111,131.65561,29475.83495,9449.22372,0.320575269,0.777599703,0.170100729,0.014650963,0.012347915
Jun-03,14943.11595,1142.87774,1.2747,4269.71791,817.086,7189.15135,1055.3474,144.75109,126.00398,29689.32612,8515.25382,0.28681196,0.844267417,0.098980515,0.013576134,0.011817851
Jul-03,17263.42499,946.82307,3.07901,3778.86863,848.524,9413.53526,1752.37737,138.32038,139.76449,34284.7172,11443.9975,0.333792968,0.82257404,0.164354614,0.012973001,0.013108443
Aug-03,18109.49129,394.37352,2.99733,2581.10286,765.921,11904.4105,1954.59726,104.60354,116.23458,35933.73188,14079.84588,0.3918281,0.845492955,0.183320718,0.009810715,0.010901584
Sep-03,16507.14713,1.76062,0.28419,711.81632,420.416,13108.05682,1820.11411,104.52383,93.07226,32767.19128,15125.76702,0.461613169,0.866604437,0.17070761,0.009803239,0.008729202
Oct-03,16617.82092,2.55081,0.66565,663.477,788.141,12959.9231,1757.23028,118.24333,110.67628,33018.72837,14946.07299,0.452654409,0.867112258,0.164809766,0.011089984,0.010380274
Nov-03,14299.23787,2.96145,1.15306,3551.24099,835.101,7576.27703,1852.1761,157.3831,110.83197,28386.36257,9696.6682,0.34159601,0.781327862,0.173714688,0.014760884,0.010394876
Dec-03,16763.34807,367.44886,2.20297,4353.95492,853.818,8826.56477,1890.05259,163.8394,138.52989,33359.75947,11018.98665,0.330307737,0.80103235,0.177267105,0.015366417,0.01299265
Jan-04,17971.11632,479.96633,2.38034,3067.1679,724.803,11057.73329,2223.75272,139.19587,128.91337,35795.02914,13549.59525,0.378532874,0.816093255,0.208564677,0.013055112,0.012090722
Feb-04,17867.89265,918.24018,4.07909,3971.59815,861.324,9903.35987,1826.02653,160.58349,131.76805,35644.87201,12021.73794,0.337264163,0.823787702,0.171262133,0.015061047,0.012358461
Mar-04,16105.01108,1215.21624,2.70437,4616.22895,860.281,8334.09569,699.41925,160.36614,122.04101,32115.36373,9315.92209,0.290076805,0.894607706,0.065598188,0.015040662,0.011446166
Apr-04,15114.1826,1035.33244,2.5236,3494.72406,839.295,8472.0069,864.44999,160.88057,133.77744,30117.1726,9631.1149,0.31978815,0.879649655,0.081076341,0.01508891,0.01254692
May-04,13696.77074,1021.91787,2.95143,3511.47228,861.659,6632.54619,1229.35394,149.12677,132.92322,27238.72144,8143.95012,0.298984302,0.814413901,0.115300503,0.013986527,0.012466804
Jun-04,14568.4074,1052.73411,1.59062,4441.18462,822.885,6285.96446,1517.05778,162.64909,116.35153,28968.82461,8082.02286,0.278990362,0.77777118,0.142284105,0.015254778,0.010912553
Jul-04,17255.79926,1190.56225,1.37233,4853.77335,848.354,8224.76909,1619.34252,176.62192,138.54075,34309.13547,10159.27428,0.296109889,0.809582344,0.151877341,0.016565283,0.012993669
Aug-04,17286.18693,1050.94508,3.77961,4467.99553,838.342,8492.43559,1928.7956,161.62079,141.21895,34371.32008,10724.07093,0.312006373,0.791904086,0.180900793,0.015158335,0.013244856
Sep-04,15881.55962,123.26483,3.60598,2428.03016,244.696,10604.20932,2036.80244,132.99545,108.98596,31564.14976,12882.99317,0.408152707,0.823116894,0.191030702,0.012473578,0.01022174
Oct-04,15804.97008,3.55774,0.83124,768.01879,243.895,12741.67444,1639.16885,131.39905,98.87867,31432.39386,14611.12101,0.464842769,0.872053173,0.153736842,0.012323852,0.009273782
Nov-04,14897.24014,222.5417,0.99614,2090.20007,816.44,9700.2651,1681.95704,123.62815,108.18628,29641.45462,11614.03657,0.391817363,0.835219094,0.157749926,0.011595024,0.010146738
Dec-04,15336.16728,796.52516,2.35251,3205.74034,861.349,9172.10891,882.03132,166.36933,130.71193,30553.35578,10351.22149,0.338791639,0.886089523,0.082725285,0.015603698,0.012259408
Jan-05,14609.05571,968.65339,1.50656,2958.37594,779.746,8640.64344,912.09582,139.00429,111.99941,29121.08056,9803.74296,0.336654505,0.881361688,0.08554502,0.013037144,0.01050437
Feb-05,16574.44729,1079.01883,2.49987,4091.9477,849.557,9372.84212,786.48652,158.64834,135.92338,33051.37105,10453.90036,0.316292487,0.896588048,0.073764185,0.01487955,0.012748187
Mar-05,15323.12479,1160.83226,2.54906,3208.96557,812.669,8667.17525,1078.16641,172.46079,136.97434,30562.91747,10054.77679,0.328986158,0.861995789,0.101120699,0.016175013,0.012846756
Apr-05,14327.93985,856.25329,3.16385,2383.22919,840.361,8661.3734,1180.92368,168.30542,133.49995,28555.04963,10144.10245,0.355247236,0.853833392,0.110758253,0.015785283,0.012520895
May-05,12756.20403,909.36345,6.86779,2637.25564,862.462,6991.48633,911.45778,169.13663,133.73675,25377.9704,8205.81749,0.323344119,0.852015822,0.085485178,0.015863242,0.012543104
Jun-05,14686.93319,1117.92479,1.15802,4174.00434,829.277,6813.77754,1262.49728,173.74109,123.4502,29182.76345,8373.46611,0.286931912,0.813734414,0.118409001,0.016295092,0.011578334
Jul-05,17012.4305,1022.75775,1.96161,4454.67256,849.255,8348.76096,1841.97019,184.98499,120.32723,33837.12079,10496.04337,0.310193158,0.795419823,0.172757481,0.017349651,0.011285432
Aug-05,18589.44836,960.71011,5.57055,4225.76567,848.521,10310.11989,1736.54211,175.06747,143.91913,36995.66429,12365.6486,0.334245886,0.833771056,0.162869433,0.016419492,0.013498105
Sep-05,17860.14449,115.83482,2.32256,1508.95526,723.96,13125.99017,1961.52282,119.49334,121.36065,35539.58411,15328.36698,0.431304062,0.856320193,0.183970263,0.011207222,0.011382356
Oct-05,17948.67546,0.71048,0.49195,650.43446,602.753,14517.76577,1760.42147,143.71907,100.69421,35725.66587,16522.60052,0.462485446,0.878661065,0.165109066,0.013479341,0.009444061
Nov-05,16890.46383,2.98739,0.47523,1481.80777,822.479,12327.01542,1802.89491,185.51763,116.15801,33629.79919,14431.58597,0.429130899,0.854169143,0.169092629,0.017399608,0.010894403
Dec-05,17817.9385,4.82961,0.63008,2706.59059,866.437,12156.0144,1606.92511,206.43496,130.12738,35495.92763,14099.50185,0.397214633,0.862159141,0.150712718,0.019361434,0.012204583
Jan-06,17653.47648,66.66477,1.64588,1812.55647,787.939,12729.54941,1848.26031,162.17173,125.79104,35188.05509,14865.77249,0.422466444,0.856299221,0.173347428,0.015210007,0.01179788
Feb-06,18175.62922,660.72654,0.83309,2492.35885,862.328,12701.46311,1011.00594,201.4931,141.79744,36247.63529,14055.75959,0.387770388,0.903648289,0.094821751,0.018897939,0.013299112
Mar-06,17404.62443,894.51615,2.73561,3948.60853,867.003,10484.79326,782.61861,209.47227,130.61875,34724.99061,11607.50289,0.334269432,0.903277247,0.073401416,0.019646301,0.012250668
Apr-06,14361.9119,816.76498,1.50474,3013.10364,841.597,8183.07214,1119.15772,188.001,117.78644,28642.89956,9608.0173,0.335441504,0.85169207,0.104965254,0.017632522,0.011047132
May-06,13961.40339,946.57557,4.02684,3349.44033,858.052,6933.76504,1475.28353,160.56162,119.58129,27808.68961,8689.19148,0.312463176,0.79797586,0.138366119,0.015058996,0.011215471
Jun-06,14644.90196,1210.90318,4.01643,3385.25819,735.65,7733.93792,1168.1953,184.77968,110.34009,29177.98275,9197.25299,0.315212092,0.840896508,0.109564464,0.017330396,0.010348743
Jul-06,15915.58686,1226.1327,1.55568,4192.49342,537.019,8141.82761,1363.9596,193.29077,136.92777,31708.79341,9836.00575,0.310198046,0.827757508,0.127925102,0.018128647,0.012842388
Aug-06,18068.70968,759.2635,6.22882,3360.3179,855.834,10791.24859,1844.68367,208.06721,121.0096,36015.36297,12965.00907,0.359985517,0.83233637,0.173011977,0.019514522,0.011349431
Sep-06,17225.32614,1.14183,0.68638,613.43343,269.717,14247.2101,1700.72665,156.88139,118.25711,34333.38003,16223.07525,0.472516112,0.878206498,0.159510318,0.014713829,0.011091276
Oct-06,16790.85704,3.10106,0.62371,497.1204,223.028,14338.02278,1363.55322,143.20102,106.58967,33466.0969,15951.36669,0.476642578,0.898858578,0.127886988,0.013430753,0.009996993
Nov-06,16718.37913,4.37559,0.95957,533.9024,551.25,13513.98209,1741.2426,147.37387,122.68334,33334.14859,15525.2819,0.465747066,0.87045003,0.163310289,0.013822123,0.01150641
Dec-06,17149.6718,3.4057,1.00735,670.44012,791.639,13863.13995,1413.2615,194.01174,121.63012,34208.20728,15592.04331,0.455798317,0.889116306,0.132549103,0.018196266,0.011407629
Jan-07,15165.90346,501.14314,4.33949,1774.0469,756.843,10781.73358,998.89715,182.16287,115.32817,30280.39776,12078.12177,0.398875928,0.892666408,0.093686074,0.017084966,0.010816572
Feb-07,18614.57286,874.12163,5.99586,3656.88929,840.627,12134.46865,724.8437,189.59044,125.31009,37166.41952,13174.21288,0.354465484,0.921077317,0.067982735,0.017781594,0.011752772
Mar-07,17875.83206,1087.99521,4.5099,3043.43569,652.581,11224.59584,1461.72214,210.82853,130.31247,35691.81284,13027.45898,0.364998523,0.86161053,0.137094203,0.019773504,0.012221943
Apr-07,14376.02537,446.33711,1.14967,1822.93028,819.18,9629.55191,1278.9257,198.39064,130.40894,28702.89962,11237.27719,0.391503205,0.856929285,0.119949814,0.018606961,0.012230991
May-07,13259.69342,814.62574,1.84263,1958.88621,841.002,8059.31575,1197.24611,201.90227,125.12115,26459.63528,9583.58528,0.362196424,0.84094997,0.112289125,0.018936315,0.011735051
Jun-07,14033.84719,1146.77822,1.24674,3706.28368,801.132,6604.61909,1399.41824,193.69376,120.67751,28007.69643,8318.4086,0.297004383,0.793976277,0.13125075,0.018166443,0.011318284
Jul-07,15686.33778,1172.58912,2.14374,4136.62188,822.608,7797.03394,1369.56979,192.71625,135.89617,31315.51667,9495.21615,0.303211224,0.821153918,0.128451279,0.018074763,0.012745635
Aug-07,15969.65705,878.08055,3.13373,3111.86063,830.056,9005.47467,1781.50291,202.1258,103.13358,31885.02492,11092.23696,0.347882336,0.811871826,0.167086284,0.01895728,0.009672848
Sep-07,15984.66234,279.5894,6.28298,2151.38998,814.125,10611.87406,1775.04412,174.71736,123.57266,31921.2579,12685.2082,0.397390612,0.836554977,0.166480517,0.016386655,0.011589819
Oct-07,16507.22915,1.66505,0.94002,1244.63435,829.788,12274.20271,1852.97015,144.93657,108.15541,32964.52141,14380.26484,0.436234601,0.853544969,0.173789161,0.01359353,0.010143843
Nov-07,16954.86276,2.67256,1.03105,770.86772,814.036,13272.91766,1723.52356,176.4082,140.4438,33856.76331,15313.29322,0.452296431,0.866757886,0.161648429,0.016545239,0.013172155
Dec-07,17632.54787,5.76781,1.256,1768.03242,744.868,13018.57925,1708.75224,186.1691,144.90334,35210.87603,15058.40393,0.427663428,0.864539118,0.160263034,0.017460709,0.013590413
Jan-08,15376.0647,6.82492,1.86965,2650.39254,795.433,10306.62867,1257.09292,185.82079,128.41714,30708.54433,11877.95952,0.386796567,0.867710372,0.117902128,0.017428041,0.012044181
Feb-08,16272.77379,686.19102,1.64515,3244.98359,860.813,10123.65391,971.62215,195.54776,141.08366,32498.31403,11431.90748,0.351769248,0.885561218,0.091127965,0.018340328,0.013232167
Mar-08,16575.99323,1104.02296,4.50515,3442.79111,859.619,9216.63481,1552.02698,190.08893,148.01033,33093.6925,11106.76105,0.335615648,0.829822013,0.145563849,0.017828348,0.013881816
Apr-08,15075.20159,815.58455,4.17744,3371.74933,803.927,8315.5833,1357.73635,197.673,151.20243,30092.83499,10022.19508,0.333042569,0.829716767,0.127341426,0.018539654,0.014181202
May-08,13779.52876,1010.78102,1.8314,3478.60071,853.373,6826.53811,1196.10609,206.90165,152.02653,27505.68727,8381.57238,0.304721431,0.814469863,0.112182203,0.019405204,0.014258494
Jun-08,13852.60652,976.60366,1.98106,3562.91527,823.629,6827.43491,1274.29895,186.45235,145.80403,27651.72575,8433.99024,0.305007735,0.809514206,0.119515873,0.017487274,0.013674888
Jul-08,15551.10734,979.04338,1.5448,3637.7039,836.585,8068.61865,1632.81621,197.66494,134.73491,31039.81913,10033.83471,0.323256868,0.804141077,0.153141031,0.018538898,0.012636721
Aug-08,15632.74042,989.04286,2.19998,3873.79306,581.011,8044.15587,1750.14848,201.30522,138.21172,31212.60861,10133.82129,0.324670758,0.793792947,0.164145567,0.018880318,0.012962809
Sep-08,14245.9633,835.6083,5.26712,3265.10649,20.075,8421.55692,1371.07171,140.24458,133.46295,28438.35637,10066.33616,0.353970392,0.836605969,0.128592143,0.01315347,0.012517425
Oct-08,13456.55402,174.21249,1.94475,2082.90248,185.997,9320.52896,1326.76487,187.08545,122.11884,26858.10886,10956.49812,0.407940044,0.850685033,0.124436626,0.017546653,0.011453466
Nov-08,14356.08414,9.40326,0.85887,1825.54132,783.078,9796.72078,1538.62094,195.50304,153.32141,28659.13176,11684.16617,0.407694353,0.838461268,0.144306503,0.018336134,0.01437994
Dec-08,16721.28103,12.306,0.55115,1572.74331,822.761,12695.78424,1209.35447,188.7831,148.58975,33372.15405,14242.51156,0.426778312,0.891400662,0.113424763,0.017705874,0.01393616
Jan-09,16197.10497,10.63742,0.91695,866.54724,754.72,13089.61235,1122.46094,168.19993,131.13703,32341.33683,14511.41025,0.448695437,0.902022073,0.105275061,0.015775389,0.012299278
Feb-09,17376.92199,591.02122,2.01852,2106.21307,836.137,12792.22021,645.72002,185.70393,158.42158,34694.37754,13782.06574,0.397242052,0.928178725,0.060561764,0.017417081,0.014858282
Mar-09,16717.18086,819.10854,4.18842,2242.71755,836.561,11189.24367,1208.07228,205.88226,153.77191,33376.72649,12756.97012,0.382211543,0.877108245,0.113304507,0.019309596,0.014422192
Apr-09,14852.13888,1053.07742,3.52911,2395.04543,804.052,8670.73211,1578.70507,155.42387,137.858,29650.56189,10542.71905,0.355565574,0.822437937,0.148065974,0.014577129,0.012929634
May-09,13274.73652,1107.59813,1.90343,2869.62239,828.06,6975.3045,1111.53663,185.741,137.48263,26491.98523,8410.06476,0.317456947,0.829399618,0.104250475,0.017420557,0.012894428
Jun-09,13591.57695,1162.28122,1.04956,3562.70423,800.601,6419.58738,1250.61265,177.78301,165.44115,27131.63715,8013.42419,0.295353507,0.801104151,0.117294347,0.016674181,0.015516644
Jul-09,15749.10523,1145.56456,2.54756,3536.86974,598.232,8775.12069,1271.94396,198.30016,162.47779,31440.16169,10407.8426,0.331036548,0.843125807,0.119295,0.018598475,0.015238712
Aug-09,18482.35852,1072.37835,2.9346,2462.43222,820.147,12261.52265,1473.38559,169.34343,169.21096,36913.71332,14073.46263,0.381252964,0.871251303,0.138188112,0.015882637,0.015870213
Sep-09,17533.00782,282.85451,4.17212,673.88604,799.534,13409.5772,2052.79547,135.97653,121.57035,35013.37404,15719.91955,0.448969001,0.853030905,0.19253068,0.012753172,0.011402023
Oct-09,17259.93073,26.82129,1.45106,804.26421,777.212,13592.93851,1715.44378,167.98579,121.40972,34467.45709,15597.7778,0.452536367,0.871466351,0.160890631,0.015755305,0.011386958
Nov-09,16201.99535,212.10851,0.92492,631.21365,811.566,12419.8169,1774.41323,176.45041,146.9469,32375.43587,14517.62744,0.448414888,0.855499079,0.166421346,0.016549197,0.013782078
Dec-09,17735.69052,517.32309,4.60383,971.25174,835.874,13367.20121,1692.36665,169.61313,149.19698,35443.12115,15378.37797,0.433888932,0.869220488,0.158726238,0.015907932,0.013993112
Jan-10,14019.82792,1229.45433,3.33474,2857.20679,745.364,7418.80269,1398.39833,176.33499,141.71282,27990.43661,9135.24883,0.326370358,0.812107347,0.131155093,0.016538372,0.013291176
Feb-10,16221.13691,1361.62259,2.78638,3303.09686,840.118,9227.44301,1101.32223,183.0755,136.06159,32376.66307,10647.90233,0.328875842,0.866597262,0.103292472,0.017170561,0.01276115
Mar-10,16805.03804,1257.14648,1.89883,3709.52829,838.615,9193.5759,1404.01003,191.6484,147.27347,33548.73444,10936.5078,0.325988684,0.840631769,0.131681412,0.017974609,0.013812707
Apr-10,14501.74477,1144.30069,2.80882,2815.2576,813.66,8142.85812,1207.00767,181.52283,135.539,28944.6995,9666.92762,0.333979201,0.842341894,0.113204657,0.017024937,0.012712136
May-10,14012.99495,1324.43114,1.27193,2864.53905,836.946,7725.80187,865.32351,182.23034,146.51579,27960.05458,8919.87151,0.319021963,0.866133762,0.081158268,0.017091294,0.013741644
Jun-10,13670.13406,1200.85159,1.75277,3006.26579,792.921,6839.13364,1463.5376,171.19095,132.2365,27278.0239,8606.09869,0.31549568,0.794684547,0.137264474,0.016055915,0.012402396
Jul-10,16216.5438,1298.90382,1.48052,3672.78197,821.066,8768.48646,1256.28165,181.87805,152.85667,32370.27894,10359.50283,0.320031312,0.846419621,0.11782604,0.017058253,0.014336352
Aug-10,17897.36441,729.31439,3.82393,2833.58497,806.046,11548.90725,1593.67019,175.59367,145.8623,35734.16711,13464.03341,0.376783188,0.857759848,0.149469545,0.016468844,0.013680354
Sep-10,16153.45914,459.01828,4.0362,1310.9112,78.26,12603.0636,1402.59977,132.80124,107.42129,32251.57072,14245.8859,0.441711383,0.884680931,0.131549144,0.012455363,0.01007499
Oct-10,16395.93085,101.30772,2.85226,804.36423,254.663,13433.65378,1514.75498,125.91006,110.54145,32743.97833,15184.86027,0.463745123,0.884674178,0.142068127,0.011809043,0.010367628
Nov-10,16691.54017,219.26804,1.69291,1058.73483,801.738,12142.46082,2143.56061,153.04406,121.32022,33333.35966,14560.38571,0.436811226,0.833938129,0.201043498,0.014353927,0.011378564
Dec-10,14923.63555,1240.79086,2.31615,2635.17078,820.505,8383.70273,1450.52179,183.27742,157.86608,29797.78636,10175.36802,0.341480669,0.823921328,0.136043727,0.017189499,0.014806182
Jan-11,14194.77763,747.83696,2.91626,2126.80848,757.369,8686.60965,1524.10686,162.85016,135.60197,28338.87697,10509.16864,0.370839277,0.826574389,0.142945235,0.015273637,0.012718042
Feb-11,17791.39576,867.86886,3.70143,2341.3134,839.101,12257.95097,1094.82336,179.02273,153.2755,35528.45301,13685.07256,0.385186277,0.895716915,0.102682946,0.016790454,0.014375634
Mar-11,17311.63206,935.89137,3.10072,1223.9573,835.625,12406.05155,1567.29758,162.98004,120.97505,34567.51067,14257.30422,0.412448104,0.870154088,0.146996071,0.015285818,0.011346191
Apr-11,13730.66241,1168.01093,2.64354,1697.24261,810.062,8939.78519,773.27796,140.43473,129.76474,27391.88411,9983.26262,0.364460604,0.895477313,0.072525361,0.013171304,0.012170571
May-11,13000.34737,1157.74278,1.50062,2626.70714,833.315,6959.52262,1072.50633,157.10472,133.5846,25942.33118,8322.71827,0.320816129,0.836207882,0.100589843,0.014734775,0.012528834
Jun-11,13598.26109,1042.33158,2.58254,2598.09505,798.766,7988.72442,828.49736,149.6843,131.09562,27138.03796,9098.0017,0.335249059,0.878074624,0.077704361,0.014038817,0.012295394
Jul-11,17151.4482,815.3991,5.05495,2104.10888,826.197,11798.78969,1259.11918,167.96105,108.07596,34236.15401,13333.94588,0.389469736,0.884868575,0.11809217,0.015752984,0.010136391
Aug-11,18302.97435,106.61775,2.31596,1016.71432,772.557,14791.91779,1313.51174,135.28695,99.87459,36541.77045,16340.59107,0.447175681,0.905225382,0.123193622,0.012688497,0.009367189
Sep-11,17469.38354,2.60733,1.02339,270.58267,715.548,14670.78442,1560.73155,94.47988,99.74033,34884.88111,16425.73618,0.470855444,0.893158411,0.146380246,0.008861222,0.009354597
Oct-11,17991.95529,4.32016,1.29563,309.39159,500.353,15441.16103,1469.65598,114.58039,91.66835,35924.38142,17117.06575,0.476474892,0.902091588,0.137838313,0.010746439,0.00859753
Nov-11,17171.85335,3.50626,3.51505,676.08738,785.739,14189.25005,1238.58638,110.44059,106.55951,34285.53757,15644.83653,0.456310084,0.906960582,0.116166409,0.010358169,0.009994164
Dec-11,17552.03902,80.05064,2.65515,1596.39565,826,13151.09837,1565.63538,144.15166,112.10212,35030.12799,14972.98753,0.427431711,0.8783216,0.146840174,0.013519913,0.010514003
Jan-12,14227.88598,373.01445,2.89328,2426.06354,785.874,9218.92149,1086.73101,158.4736,118.00261,28397.85996,10582.12871,0.372638245,0.871178356,0.101923968,0.014863161,0.011067407
Feb-12,15758.85055,784.5363,4.07594,2415.1019,843.673,10258.93152,1098.25814,169.12938,129.52238,31462.07911,11655.84142,0.370472701,0.880153663,0.103005092,0.015862562,0.01214784
Mar-12,15876.29932,1320.45215,3.23073,2859.91758,832.632,9838.26802,670.40098,180.01772,112.64728,31693.86578,10801.334,0.340802036,0.910838237,0.062876579,0.016883774,0.010565133
Apr-12,14637.93357,1219.71546,2.75879,2301.28791,748.464,8972.94955,1069.48984,166.45945,106.33647,29225.39504,10315.23531,0.352954521,0.869873472,0.100306927,0.01561215,0.009973245
May-12,13251.33172,1248.34921,2.17101,1367.03357,805.467,8505.70935,996.25071,167.50338,104.21029,26448.02624,9773.67373,0.369542651,0.870267372,0.093437865,0.01571006,0.009773832
Jun-12,13265.71641,1338.53611,3.8008,2216.64409,13.801,8657.58637,695.78707,182.86226,111.02206,26485.75617,9647.25776,0.364243244,0.897414227,0.065257528,0.017150562,0.010412705
Jul-12,15940.18426,1230.39184,6.53482,1499.28201,0,11634.92999,1225.08972,175.5708,116.10675,31828.09019,13151.69726,0.413210381,0.884671367,0.114900564,0.016466699,0.010889595
Aug-12,17685.25255,314.94672,5.33673,505.68239,0,15457.49888,1111.0238,144.32245,95.27663,35319.34015,16808.12176,0.475890028,0.919644628,0.104202377,0.013535932,0.008935948
Sep-12,17250.34993,121.66278,3.72514,206.08041,0,15305.54684,1329.8935,144.66582,91.6068,34453.53122,16871.71296,0.489694738,0.907172074,0.124730059,0.013568136,0.008591757
