month,all fuels,coal,petroleum liquids,natural gas,nuclear,hydroelectric,wind,geothermal,biomass,total,renewable,renewable_percent,hydroelectric_percent,wind_percent,geothermal_percent,biomass_percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb-01,16259.34743,445.6568,2.67687,4131.07451,831.225,8775.34862,1627.64086,127.57523,131.60855,32332.15387,10662.17326,0.329769965,0.823035643,0.152655638,0.011965218,0.012343501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,90.64082,,9359.13285,445.6568,2.67687,1580.06107,831.225,5623.53432,703.11382,127.57523
Mar-01,16995.837,328.62069,17.89297,4446.80801,859.62,9207.62745,1724.65103,142.61806,126.93415,33850.60936,11201.83069,0.330919617,0.821975238,0.161754174,0.013376078,0.011905092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.93547,87.12576,,9777.77047,328.62069,17.87997,1701.88623,859.62,5950.63902,755.7268,121.68259
Apr-01,15732.99589,247.71712,2.71076,3600.6325,836.503,8734.56369,1914.09234,135.37956,105.84044,31310.4353,10889.87603,0.347803406,0.802081095,0.179521782,0.012697183,0.009926723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.55022,81.82349,,9197.09229,247.71712,2.71076,1453.85037,836.503,5666.3993,834.92892,115.82934
May-01,13357.52229,490.71659,1.7368,3637.49502,854.566,6230.2063,1683.45205,129.31764,114.96075,26499.97344,8157.93674,0.307846978,0.763698776,0.157890142,0.012128638,0.010782112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.60154,77.46206,,7985.05982,490.71659,1.7368,1674.13741,854.566,4077.36604,740.62648,109.53881
Jun-01,14543.94005,474.74827,1.49744,4226.40003,820.076,7056.75528,1468.94909,136.70216,120.53164,28849.59996,8782.93817,0.30443882,0.803461796,0.137772015,0.012821229,0.011304603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.66028,81.81798,,8339.42491,474.74827,1.49744,1726.61085,820.076,4581.97725,590.15598,112.99976
Jul-01,17936.43552,408.80264,2.52025,4281.39091,837.443,10412.92063,1418.57568,148.90132,136.43866,35583.42861,12116.83629,0.340519078,0.859376192,0.133047517,0.013965382,0.012796515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.69681,99.83534,,10822.63615,408.80264,2.51425,1697.37538,837.443,7177.73368,533.15989,125.07749
Aug-01,19402.29925,285.51973,2.88573,3183.86543,840.895,13050.61596,1427.59681,149.59083,143.06306,38486.3318,14770.86666,0.383795129,0.883537592,0.133893605,0.014030051,0.013417814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.63797,99.87598,,12125.3656,285.51973,2.88573,1354.48549,840.895,8959.91513,514.82585,125.82794
Sep-01,17860.36869,1.89847,1.73697,1285.22301,650.116,13832.56747,1513.64563,147.77344,124.94112,35418.2708,15618.92766,0.440985043,0.8856285,0.141964081,0.013859598,0.011718166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.00103,86.52858,,11290.43644,1.89847,1.73697,479.42574,650.116,9337.70845,653.10722,124.97122
Oct-01,15495.11328,1.94191,0.008,1363.41836,847.7,10642.0965,2092.28603,137.47977,125.55446,30705.59831,12997.41676,0.423291435,0.818785509,0.19623448,0.01289416,0.011775691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.65168,82.957,,9693.35536,1.94191,0,370.65833,847.7,7413.35147,906.39573,116.29757
Nov-01,14002.03248,290.85767,2.31635,2662.11012,827.383,7495.69989,2221.89104,121.74582,121.11305,27745.14942,9960.4498,0.358997879,0.752546325,0.208390071,0.011418481,0.011359134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.537,79.69786,,8336.42366,290.85767,2.31635,1017.28367,827.383,5041.88418,1012.05012,108.20882
Dec-01,17244.92135,398.16871,1.69049,2412.37418,853.749,11050.45792,2037.40988,132.85699,135.17267,34266.80119,13355.89746,0.389762014,0.827384154,0.191087673,0.012460592,0.012677778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.88136,90.45443,,10128.18888,398.16871,1.67849,801.40779,853.749,6983.94262,939.94163,116.97563
Jan-02,17503.06657,341.38144,2.71141,3251.91555,755.9,10744.76927,1983.64247,129.43438,123.36638,34836.18747,12981.2125,0.372635855,0.827716923,0.186044854,0.012139587,0.011570472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.73286,82.68148,,10212.09247,341.38144,2.70201,1179.91071,755.9,6909.43508,890.9346,107.06857
Feb-02,19979.77982,295.59859,4.04519,3744.90671,867.584,12998.11451,1667.96936,138.38125,130.69241,39827.07184,14935.15753,0.37500014,0.870303141,0.156438028,0.01297871,0.012257577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.14075,92.67659,,11786.81023,295.59859,4.04146,1303.25294,867.584,8409.92713,776.04288,111.23533
Mar-02,18363.04023,113.2944,3.57129,3745.54061,631.147,11801.81599,1727.72363,143.72698,119.69624,36649.55637,13792.96284,0.376347334,0.855640382,0.162042352,0.013480083,0.011226252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.37326,78.4096,,11162.20971,111.53335,3.44159,1395.12196,631.147,7997.32949,886.73151,117.94298
Apr-02,15065.20323,268.03603,3.44382,3598.39161,836.592,8390.37626,1591.57632,141.72388,124.85536,30020.19851,10248.53182,0.341387876,0.81869056,0.149273162,0.013292213,0.011710123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.31737,84.254,,9109.24456,267.05357,3.36269,1390.92513,836.592,5548.25682,920.43877,118.0032
May-02,13225.23463,445.96813,2.34603,3534.86362,848.536,6329.42638,1629.38988,157.41585,121.32568,26294.5062,8237.55779,0.313280566,0.768362,0.152819678,0.014763955,0.011379076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.76937,78.44386,,7681.89474,444.90166,2.32799,1397.71932,848.536,4087.10774,738.35493,134.47477
Jun-02,13368.23307,360.70935,2.55594,4291.51001,815.383,6076.64073,1300.78143,165.869,126.84773,26508.53026,7670.13889,0.289346064,0.792246505,0.121999652,0.015556772,0.011896986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.69752,88.6725,,7630.32734,359.28591,2.53809,1775.70005,815.383,3833.52854,672.61896,142.69894
Jul-02,16444.20781,420.86105,2.67049,4554.40421,849.376,8159.18268,1904.5899,163.97848,136.84327,32636.11389,10364.59433,0.317580529,0.78721679,0.178630552,0.015379461,0.012834463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.84542,89.2555,,9618.49698,419.81004,2.63332,1869.59318,849.376,5594.33241,708.74017,140.92811
Aug-02,17064.28853,439.65741,1.61847,4477.30092,845.579,8865.44503,1851.14129,154.13154,137.84527,33837.00746,11008.56313,0.32534092,0.805322632,0.173617634,0.014455922,0.01292844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08609,90.30428,,9988.99647,438.13243,1.60769,1774.4315,845.579,6180.12464,584.24022,130.95098
Sep-02,16564.98558,65.12178,3.13088,2996.26638,304.057,10857.53137,1758.20795,146.3281,112.75749,32808.38653,12874.82491,0.392424812,0.843314876,0.164901461,0.013724041,0.01057547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.82546,65.81865,,10033.98827,64.33803,3.10835,1184.99918,304.057,7617.34532,703.04118,124.32604
Oct-02,14407.68095,1.68649,3.39048,1864.78099,150.615,9791.53002,2070.93634,123.64336,102.47572,28516.73935,12088.58544,0.42391191,0.809981455,0.194232103,0.01159645,0.009611148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.87216,67.21746,,8495.88889,1.68649,3.32788,577.1129,150.615,6825.95132,803.02292,100.4979
Nov-02,13823.02192,28.53481,1.36826,3265.16985,746.667,7137.30805,2100.17512,154.76175,108.40604,27365.4128,9500.65096,0.34717733,0.751244107,0.196974394,0.014515029,0.010167349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.75053,81.57055,,7728.16228,28.53481,1.35778,1285.84259,746.667,4588.82852,910.72338,132.53071
Dec-02,15882.75727,399.67467,1.71043,3969.22736,849.781,8275.86942,1855.78227,152.14174,144.08867,31531.03283,10427.8821,0.330718063,0.793628979,0.174052909,0.014269299,0.013514006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.69638,100.38638,,8932.27267,397.02248,1.66847,1677.17867,849.781,5056.11332,788.73959,130.92272
Jan-03,16605.07929,241.04805,5.56339,3160.97423,768.461,9637.86687,2398.07653,140.3074,120.1165,33077.49326,12296.3673,0.371744231,0.7837979,0.224914421,0.013159362,0.011265668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.73755,83.60615,,9633.72013,238.78282,5.47623,1094.05028,768.461,6352.2654,1027.79007,118.22377
Feb-03,17848.01509,364.04347,1.22578,3362.90438,865.094,11711.15462,1165.33136,142.53244,139.48332,35599.78446,13158.50174,0.369623073,0.890006693,0.109295857,0.013368048,0.013082072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.86989,97.19539,,10793.19861,361.43902,1.17403,1166.57761,865.094,7698.17348,553.31432,119.27838
Mar-03,16654.53778,885.69227,0.63267,3834.66516,858.272,9431.48125,1282.73003,147.39111,124.73359,33220.13586,10986.33598,0.330713156,0.858473768,0.12030662,0.01382374,0.011698702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.48631,81.54948,,9998.511,883.71476,0.61727,1402.27076,858.272,6092.17183,613.7011,122.34433
Apr-03,15604.80022,821.24812,1.20792,2920.62917,795.088,9120.20803,1585.37347,135.78714,129.67631,31114.01838,10971.04495,0.35260778,0.831298028,0.1486914,0.012735409,0.012162278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.83788,89.05694,,9123.78577,819.58525,1.20792,767.60743,795.088,5827.71276,775.29248,110.78093
May-03,14823.45236,856.46139,0.93131,3487.21017,858.556,7347.71356,1813.64344,156.21111,131.65561,29475.83495,9449.22372,0.320575269,0.777599703,0.170100729,0.014650963,0.012347915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.30204,84.86596,,8622.842,742.65124,0.76416,1386.02217,858.556,4596.36306,875.72576,133.25278
